ESTADO,BANCO_VENCEDOR,VALOR_FINAL,VALOR_PARCELA,QTD_PARCELA,CARENCIA,TAXA_CLIENTE,VALOR_TOTAL_PAGAR,SPREAD_EFETIVO
MT,Sol Agora,17803.02,841.87,36.0,150.0,1.9,30307.32,0.0
MA,Sol Agora,24336.99,868.13,60.0,150.0,1.9,52087.8,0.0
SP,Santander,24446.7,1358.15,18.0,90.0,1.9,24446.7,0.16999999999999993
PR,Sol Agora,13763.07,762.12,30.0,150.0,1.9,22863.6,0.0
SP,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
ES,Santander,11640.0,388.0,30.0,90.0,1.9,11640.0,0.0
RS,Santander,9520.92,793.41,12.0,30.0,1.9,9520.92,0.0
SP,Santander,15484.66,516.16,30.0,90.0,1.9,15484.8,0.0
MT,Santander,16956.16,794.39,18.0,90.0,1.9,14299.02,0.0
SP,Santander,21830.83,666.67,30.0,90.0,1.9,20000.1,0.0
SP,Santander,15050.74,501.69,30.0,90.0,1.9,15050.7,0.0
PE,BV,46800.0,1798.0,27.0,60.0,1.9,48546.0,0.0
MT,Santander,25883.31,862.78,30.0,90.0,1.9,25883.399999999998,0.0
GO,Santander,22590.19,753.01,30.0,90.0,1.9,22590.3,0.0
RS,Santander,15484.66,516.16,30.0,90.0,1.9,15484.8,0.0
MT,Sol Agora,17567.08,948.42,30.0,150.0,1.9,28452.6,0.0
MG,Santander,16643.31,554.78,30.0,90.0,1.9,16643.399999999998,0.0
SP,Santander,6733.08,374.06,18.0,90.0,1.9,6733.08,0.0
BA,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
PE,Sol Agora,12324.5,682.86,36.0,150.0,2.5,24582.96,0.0
BA,Sol Agora,5539.91,327.6,36.0,150.0,1.9,11793.6,0.0
SP,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
PE,Santander,17631.58,587.72,30.0,90.0,1.9,17631.600000000002,0.0
SP,BV,28879.34,1196.0,27.0,60.0,1.9,32292.0,0.0
BA,Santander,11640.0,388.0,30.0,90.0,1.9,11640.0,0.0
SP,Santander,13000.0,433.33,30.0,90.0,1.9,12999.9,0.0
SP,Santander,15484.66,516.16,30.0,90.0,1.9,15484.8,0.0
MT,Santander,20000.0,692.84,48.0,90.0,1.95,33256.32,0.050000000000000044
BA,Santander,17631.58,587.72,30.0,90.0,1.9,17631.600000000002,0.0
BA,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
MT,Santander,17342.82,578.09,30.0,90.0,1.9,17342.7,0.0
SP,Sol Agora,9100.0,468.09,36.0,150.0,1.9,16851.239999999998,0.0
SP,Santander,18491.31,616.38,30.0,90.0,1.9,18491.4,0.0
RO,Sol Agora,12001.52,667.24,36.0,150.0,2.5,24020.64,0.0
SP,Santander,14795.31,493.18,30.0,90.0,1.9,14795.4,0.0
SP,Sol Agora,17600.0,606.37,60.0,150.0,1.9,36382.2,0.0
SP,Santander,23404.28,780.14,30.0,90.0,1.9,23404.2,0.0
SP,Santander,20535.72,684.52,30.0,90.0,1.9,20535.6,0.0
PE,Santander,7070.0,235.67,30.0,90.0,1.9,7070.099999999999,0.0
MT,Santander,17631.58,587.72,30.0,90.0,1.9,17631.600000000002,0.0
MT,Santander,11651.29,516.21,24.0,90.0,1.24,12389.04,0.0
PR,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
MT,Sol Agora,18841.5,997.95,36.0,150.0,2.5,35926.200000000004,0.0
